MAPA ->,Mapa - por partido y fuente de origen de datos,,,,,,,,,,,,,,,,
,,Ubicación,,,,,,Categoría de uso y dominio,,,,,,,,,
Propiedad_ID,Descripción,Dirección oficial,Ubicación,Localidad,Lat,Long,Direcciones secundarias,En Índice GCBA,En Índice PBA,En Templos,En alquileres,En Eduardo,En Relev,En entes,Fuentes disponibles,Categoría de uso,Universo dominial
PROP_0049,Parroquia MARIA MADRE DE LA IGLESIA,"Goyena, Pedro Av. 1626",Ver en mapa,CABA,-34.628317,-58.450881,"Goyena, Pedro Av. 1628",,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U5
PROP_0050,PARROQUIA MARIA MADRE DEL REDENTOR,Mexico 2751,Ver en mapa,CABA,-34.617251,-58.404946,Mexico 2755 | Mexico 2749 | Mexico 2745,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0051,PARROQUIA MARIA REINA,Ceretti 2622,Ver en mapa,CABA,-34.576255,-58.494667,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0052,PARROQUIA NATIVIDAD DE MARIA SANTISIMA,San Antonio 555,Ver en mapa,CABA,-34.648731,-58.378403,,,,✅,,,,✅,"Templos, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0053,PARROQUIA NAVIDAD DEL SEÑOR,"Arenal, Concepcion 3545",Ver en mapa,CABA,-34.58431,-58.44676,Charlone 145 | Charlone 147,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0054,INSTITUTO PARROQUIAL CANONIGO HONORARIO MARIO F ALSINA,Murguiondo 4055,Ver en mapa,CABA,-34.675784,-58.477272,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela",U5
PROP_0055,Parroquia NTRA. SRA. DE BALVANERA,"Mitre, Bartolome 2411",Ver en mapa,CABA,-34.60853,-58.400792,"Mitre, Bartolome 2431",,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U5
PROP_0056,Basílica SANTISIMO SACRAMENTO,San Martin 1049,Ver en mapa,CABA,-34.595482,-58.374329,San Martin 1039 | San Martin 1029 | San Martin 1083,,,✅,,✅,✅,,"Relevamiento, Templos, Eduardo",Parroquia y anexos,U5
PROP_0057,PARROQUIA NUESTRA SEÑORA DE BELEN,Burela 3243,Ver en mapa,CABA,-34.57028,-58.497814,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0058,Basílica NTRA. SRA. DE BUENOS AIRES,Gaona Av. 1730,Ver en mapa,CABA,-34.610938,-58.452559,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0059,PARROQUIA NTRA SRA DE CAACUPE,Rivadavia Av. 4879,Ver en mapa,CABA,-34.616862,-58.433428,,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0060,PARROQUIA NUESTRA SEÑORA DE CHEZTOCHOWA I. C.,Entre Rios Av. 1941,Ver en mapa,CABA,-34.63098,-58.390841,Entre Rios Av. 1951 | Combate De Los Pozos 1942 | Combate De Los Pozos 1952,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar
PROP_0061,PARROQUIA NUESTRA SEÑORA DE FATIMA,Roosevelt Franklin D. 2066,Ver en mapa,CABA,-34.555567,-58.457528,,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U1
PROP_0062,PARROQUIA NTRA. SRA. DE FATIMA,"Acosta, Mariano 2979",Ver en mapa,CABA,-34.66063,-58.448803,,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0063,PARROQUIA NUESTRA  SEÑORA DE ITATI,Diaz Velez Av. 4019,Ver en mapa,CABA,-34.608519,-58.423362,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U5
PROP_0064,PARROQUIA NUESTRA SEÑORA DE LA ANUNCIACION,Altolaguirre 2041,Ver en mapa,CABA,-34.580636,-58.487897,Altolaguirre 2043,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Escuela,U1
PROP_0065,INSTITUTO LA CANDELARIA,Bahia Blanca 363,Ver en mapa,CABA,-34.629723,-58.482001,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Eduardo, Entes dependientes","Parroquia y anexos, Escuela",U3
PROP_0066,Capilla BEATO JUAN XXIII (Pquia Santa Francisca Cabrini),Tandil 2551,Ver en mapa,CABA,-34.635086,-58.462382,,✅,,✅,✅,✅,✅,,"Índice GCBA, Relevamiento, Templos, Eduardo, Alquileres",Parroquia y anexos,U1
PROP_0067,Parroquia NTRA. SRA. DE LA CONSOLACION,"Scalabrini Ortiz, Raul Av. 1073",Ver en mapa,CABA,-34.594661,-58.430454,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
