MAPA ->,Mapa - por partido y fuente de origen de datos,,,,,,,275,0,286,92,444,226,202,,,,
694,,Ubicación,,,,,,Categoría de uso y dominio,,,,,,,,,,
Propiedad_ID,Descripción,Dirección oficial,Ubicación,Localidad,Lat,Long,Direcciones secundarias,En Índice GCBA,En Índice PBA,En Templos,En alquileres,En Destinos,En Relev,En entes,Fuentes disponibles,Categoría de uso,Universo dominial,Estado validación
PROP_0179,PARROQUIA SANTA AMELIA,Liniers Virrey 428,Ver en mapa,CABA,-34.615975,-58.414276,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0180,PARRROQUIA SANTA ANA Y SAN JOAQUIN,Tinogasta 3138,Ver en mapa,CABA,-34.6002,-58.495044,"Lozano, Pedro 3167",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar,
PROP_0181,PARROQUIA SANTA CLARA DE ASIS,Zuviria 2631,Ver en mapa,CABA,-34.642774,-58.455845,Zuviria 2680 | Culpina 1420 | Culpina 1410 | Gurruchaga 1012 | Zuviria 2641 | Serrano 742 | Zuviría 2631,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0182,Capilla NTRA. SRA. DE LOS DESAMPARADOS (Pquia Virgen de los Desamparados),Moreto 767,Ver en mapa,CABA,-34.644768,-58.486392,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0183,Parroquia SANTA CRUZ,Estados Unidos 3150,Ver en mapa,CABA,-34.621484,-58.410054,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0184,PARROQUIA SANTA ELENA,"Segui, Juan Francisco 3815",Ver en mapa,CABA,-34.577906,-58.411827,"Segui, Juan Francisco 3849",,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0185,ESCUELA PARROQUIAL SANTA ELISA  A 431,Salta 2290,Ver en mapa,CABA,-34.633856,-58.382466,"Olmos, Ambrosio 1262 | Olmos, Ambrosio 1266 | Olmos, Ambrosio 1264 | Andalucía S/N (Ambrosio Olmos) | Salta 2270 | Saladillo Esq. Pasaje Andalucía",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Escuela,U5,
PROP_0186,PARROQUIA SANTA FRANCISCA JAVIER CABRINI,"Bilbao, Francisco 2241",Ver en mapa,CABA,-34.633745,-58.457848,"Fernandez Moreno, Baldomero 2383 | 2383",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U2,
PROP_0187,Parroquia SANTA INES Y CAMILO DE LELIS,Avalos 250,Ver en mapa,CABA,-34.593829,-58.466613,Avalos 260 | Avalos 278 | Avalos 282,✅,,✅,,✅,✅,,"Índice GCBA, Relevamiento, Templos, Destinos",Parroquia y anexos,U2,
PROP_0188,PARROQUIA SANTA ISABEL DE HUNGRIA,Estrada 823,Ver en mapa,CABA,-34.631976,-58.436699,Estrada 1057 | Estrada 1065 | Estrada 833,,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U9,
PROP_0189,PARROQUIA SANTA JULIA,"Alberdi, Juan Bautista Av. 1163",Ver en mapa,CABA,-34.623378,-58.44439,"Alberdi, Juan Bautista Av. 1195 | Alberdi, Juan Bautista Av. 1181",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1,
PROP_0190,PARROQUIA SANTA LUCIA DE PALERMO,Gascon 1365,Ver en mapa,CABA,-34.594553,-58.42286,Gascon 1361 | Gascon 1372,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1,
PROP_0191,INSTITUTO PARROQUIAL SANTA LUCIA,Isabel La Catolica 235,Ver en mapa,CABA,-34.634543,-58.374248,"Isabel La Catolica 213 | Isabel La Catolica 245 | Montes De Oca, Manuel Av. 550 | Montes De Oca, Manuel Av. 320 | Isabel La Catolica 205 | Isabel La Catolica 221 | Montes De Oca, Manuel Av. 76",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1,
PROP_0192,INSTITUTO PARROQUIAL NUESTRA SEÑORA DE LA UNIDAD,Nueva York 2467,Ver en mapa,CABA,-34.588294,-58.492592,"Carril, Salvador Maria Del Av. 2458 | Carril, Salvador Maria Del Av. 2460",,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0193,Capilla NTRA. SRA. DE LUJÁN (Pquia Cristo Obrero),Sn - Villa 31 Bis,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0194,Parroquia SANTA MARGARITA MARIA ALACOQUE,Pico 4950,Ver en mapa,CABA,-34.551668,-58.498125,Pico 4962,,,✅,,✅,✅,,"Relevamiento, Templos, Destinos",Parroquia y anexos,U5,
PROP_0195,PARROQUIA DE SANTA MARIA,La Plata Av. 282,Ver en mapa,CABA,-34.618066,-58.428494,La Plata Av. 286 | La Plata Av. 296 | Republica Bolivariana De Venezuela y La Plata Av.,,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0196,Parroquia SANTA MARIA DE BETANIA,Medrano Av. 752,Ver en mapa,CABA,-34.601294,-58.420772,Medrano Av. 760 | Medrano Av. 744,✅,,✅,,✅,,,"Índice GCBA, Templos, Destinos",Escuela,U1-U3/Sin relevar,
PROP_0197,PARROQUIA SANTA MARIA DE LOS ANGELES,"Naon, Romulo 3210",Ver en mapa,CABA,-34.559808,-58.478954,"Naon, Romulo 3250",,,✅,,✅,,✅,"Templos, Destinos, Entes dependientes",Parroquia y anexos,Sin relevar,
PROP_0198,Parroquia SANTA MARIA MADRE DEL PUEBLO,"Manzana 3,Casa 1 Villa 1-11-14",Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0199,Parroquia SANTA MARIA TERESA GORETTI,Escalada Av. 1150,Ver en mapa,CABA,-34.648304,-58.490842,Escalada Av. 1192 | Escalada Av. 1198,✅,,✅,,✅,✅,,"Índice GCBA, Relevamiento, Templos, Destinos",Parroquia y anexos,U1,
PROP_0200,Parroquia SANTA RITA DE CASIA,"Albarracin De Sarmiento, Paula 3434",Ver en mapa,CABA,-34.615348,-58.487459,"Camarones 3443 | Albarracin De Sarmiento, Paula y Llavallol | Camarones 3449",,,✅,,✅,✅,,"Relevamiento, Templos, Destinos",Parroquia y anexos,U5,
PROP_0201,INSTITUTO EDUCACIONAL SANTA TERESITA,Chorroarin Av. y De Los Constituyentes Av.,Ver en mapa,CABA,-34.592091,-58.476035,Quiros 2941,,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0202,PARROQUIA SANTIAGO APOSTOL,"Riccheri, Pablo, Tte. Gral. 3189",Ver en mapa,CABA,-34.548358,-58.45313,"Riccheri, Pablo, Tte. Gral. 3199",,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0203,Capilla NTRA. SRA. DE LUJÁN (Pquia NTRA. SRA. del Carmen (Lugano)),Sn - Lugano,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0204,PARROQUIA SANTISIMA CRUZ,"Artigas, Jose Gervasio, Gral. 2040",Ver en mapa,CABA,-34.60827,-58.476755,"Artigas, Jose Gervasio, Gral. 2057 | Artigas, Jose Gervasio, Gral. 2056 | Artigas, Jose Gervasio, Gral. 2064 | Artigas, Jose Gervasio, Gral. 2052",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",No AZB,U1,
PROP_0205,Parroquia SANTISIMA TRINIDAD,"Larralde, Crisologo Av. 2450",Ver en mapa,CABA,-34.549373,-58.468806,Cabildo Av. 3680,,,✅,,✅,,,"Templos, Destinos",Parroquia y anexos,Sin relevar,
PROP_0206,INSTITUTO SAN MIGUEL,Beruti y Larrea,Ver en mapa,CABA,-34.592931,-58.400363,Larrea 1252 | Larrea 1254 | Larrea 1270 | Larrea 1276,,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U6,
PROP_0207,CENTRO COMUNITARIO SAN CAYETANO,"Fernandez De La Cruz, F., Gral. Av. 6820",Ver en mapa,CABA,-34.68987,-58.477731,"Tabare y Lafuente | Suarez, Jose Leon y Fernandez De La Cruz, F., Gral. Av.",,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0208,PARROQUIA SANTOS SABINO Y BONIFACIO I. C.,Primera Junta 4083,Ver en mapa,CABA,-34.648807,-58.472041,Monte 4149 | Monte 4151 | Fernandez 1468 | Primera Junta 4095 | #Ref!,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0209,Parroquia SEÑOR DEL MILAGRO,Moldes 1155,Ver en mapa,CABA,-34.570322,-58.45165,Moldes 1157 | Moldes 1110 | Moldes 1180,✅,,✅,,✅,✅,,"Índice GCBA, Relevamiento, Templos, Destinos",Parroquia y anexos,U2,
PROP_0210,INSTITUTO MATER DOLOROSA,Mosconi Gral. Av. S/N,Ver en mapa,CABA,,,Mosconi Gral. Av. 4119 | Mercedes 4734,,,✅,,✅,,✅,"Templos, Destinos, Entes dependientes",Parroquia y anexos,Sin relevar,
PROP_0211,PARROQUIA DE TODOS LOS SANTOS Y ANIMAS,Otero 145,Ver en mapa,CABA,-34.593349,-58.451928,,,,✅,,,✅,✅,"Relevamiento, Templos, Entes dependientes",Parroquia y anexos,U5,
PROP_0212,PARROQUIA TRANSITO DE LA SANTISIMA VIRGEN,"Peron, Juan Domingo, Tte. Gral. 3317",Ver en mapa,CABA,-34.60749,-58.413141,"Peron, Juan Domingo, Tte. Gral. 3333 | Peron, Juan Domingo, Tte. Gral. 3329 | Peron, Juan Domingo, Tte. Gral. 3334",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U3,
PROP_0213,Capilla NTRA. SRA. DEL BUEN CONSEJO (Pquia Natividad de María Santísima),Santa Maria Del Buen Aire 953,Ver en mapa,CABA,-34.654198,-58.381022,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0214,Parroquia TRANSITO DE SAN JOSE,Ercilia S/N,Ver en mapa,CABA,,,"Castro, Emilio Av. 6391 | Leguizamòn S/N | Castro, Emilio Av. 6351",,,✅,,✅,,,"Templos, Destinos",Parroquia y anexos,Sin relevar,
PROP_0215,PARROQUIA VIRGEN DE LOS DESAMPARADOS,"Rodo, Jose E. 4203",Ver en mapa,CABA,-34.6423,-58.483587,"Rodo, Jose E. 4205 | Fernandez 596",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U2,
PROP_0216,NUESTRA SEÑORA DE CAACUPE,Pepiri 1442,Ver en mapa,CABA,-34.654669,-58.406345,"Cruz, Osvaldo 3470",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar,
PROP_0217,PARROQUIA VIRGEN DE LUJAN,Monteagudo 830,Ver en mapa,CABA,-34.646698,-58.403691,"Masantonio, Herminio 2990",,,✅,,✅,,✅,"Templos, Destinos, Entes dependientes",Parroquia y anexos,Sin relevar,
PROP_0218,Parroquia VIRGEN INMACULADA,"Acosta, Mariano 2451",Ver en mapa,CABA,-34.655207,-58.455694,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0219,PARROQUIA VIRGEN INMACULADA DE LOURDES,Rivadavia Av. 6280,Ver en mapa,CABA,-34.626135,-58.455108,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0220,SANTUARIO JESUS SACRAMENTADO,Pringles 857,Ver en mapa,CABA,-34.601872,-58.426963,Pringles 859 | Corrientes Av. 4433,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar,
PROP_0221,Capilla NTRA. SRA. DEL ROSARIO (Pquia Cristo Obrero),Sn - Villa 31 Bis,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0222,Capilla NTRA. SRA. QUE DESATA LOS NUDOS (Pquia Caacupé),Sn - Villa 21-24,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0223,Capilla NTRO. SEÑOR DEL MAILÍN (Pquia Caacupé),Sn - Villa 21-24,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0224,Capilla SAGRADO CORAZON (Pquia San Roque),Sn - Asentamiento Fraga 900,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0225,Capilla SAGRADOS CORAZONES (Pquia Jesús Salvador),Hudson 4689,Ver en mapa,CABA,-34.683461,-58.47306,"Chilavert, Martiniano, Coronel y Hudson",✅,,✅,,✅,,,"Índice GCBA, Templos, Destinos",Parroquia y anexos,U1-U3/Sin relevar,
PROP_0226,Capilla SAN ANTONIO (Pquia Caacupé),Sn - Villa 21-24,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0227,Capilla SAN ANTONIO DE PADUA (Pquia Santa María Madre del Pueblo),Sn - Villa 21-24,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0228,Capilla SAN BLAS (Pquia Caacupé),Sn - Villa 21-24,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0229,Capilla SAN CAYETANO (Pquia NTRA. SRA. del Rosario del Milagro),Sn - Villa Pirelli,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0230,Capilla SAN CAYETANO (Pquia NTRA. SRA. del Carmen (Lugano)),Sn - Lugano,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0231,Capilla SAN EXPEDITO (Pquia Caacupé),Sn - Villa 21-24,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0232,Capilla SAN FRANCISCO (Pquia NTRA. SRA. del Carmen (Lugano)),Sn - Lugano,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0233,Capilla SAN JOSÉ (Pquia NTRA. SRA. de Fátima (F)),Sn - Los Piletones,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0234,Capilla SAN JOSÉ DE LA MONTAÑA (Pquia San Antonio (D)),Habana 3964,Ver en mapa,CABA,-34.597759,-58.513186,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0235,Capilla SAN JUAN (Pquia Caacupé),Sn - Villa 21-24,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0236,Capilla SAN JUAN BAUTISTA (Pquia María Madre de la Esperanza),Sn - Villa 20,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0237,Capilla SAN JUAN BAUTISTA (Pquia Santa María Madre del Pueblo),Sn - Soldati,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0238,Capilla SAN LUIS REY (Pquia NTRA. SRA. de las Mercedes),Monroe y Husares,Ver en mapa,CABA,-34.549661,-58.445377,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0239,Capilla SANTA MARÍA DE LABARDÉN (Pquia Caacupé),"Villafañe, Wenceslao 107",Ver en mapa,CABA,-34.630471,-58.357228,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0240,Capilla SANTA TERESITA (Pquia Virgen Inmaculada),Sn - Asentamiento Los Pinos,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0241,Capilla SANTA TERESITA (Pquia NTRA. SRA. de la Piedad),Sarmiento 1272,Ver en mapa,CABA,-34.60519,-58.384664,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0242,Capilla SEÑOR DE MAILÍN (Pquia Caacupé),Sn - Villa 21-24,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0243,Capilla VIRGEN DE ITATÍ (Pquia Caacupé),Sn - Villa 21-24,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0244,Capilla VIRGEN DEL CARMEN (Pquia Caacupé),"Villafañe, Wenceslao 110",Ver en mapa,CABA,-34.630515,-58.357056,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0245,Capilla VIRGENCITA DE LUJÁN (Pquia Virgen Inmaculada),Sn - Villa Fátima,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0246,Centro Misionero CRISTO RESUCITADO (Pquia Santo Cristo Pertenece al Arzobispado de Buenos Aires Tiene Libros Sacramentales),Sn - Villa 19,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0247,Centro Misionero MADRE TERESA DE CALCUTA (Pquia San Saturnino y San Judas Barrio Bernardino Rivadavia),Sn - Barrio Rivadavia I,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0248,Centro Misionero NTRA. SRA. DE LUJÁN (Pquia Virgen Inmaculada de Lourdes),"Segui, F. J., Alte. 251",Ver en mapa,CABA,-34.621902,-58.453254,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0249,Centro Misionero NTRA. SRA. DE LUJÁN (Pquia Caacupé),Sn - Asentamiento Magaldi,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0250,INSTITUTO DE FORMACION TECNICA SUPERIOR DON ORIONE I. C.,Pepiri 1462,Ver en mapa,CABA,-34.654896,-58.40627,Pepiri 1472,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1,
PROP_0251,Centro Misionero SAN CAYETANO (Pquia Caacupé),Sn - Villa 21-24,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0252,Centro Misionero SAN CAYETANO DEL NIÑO JESÚS (Pquia Niño Jesús),Corvalan 3565,Ver en mapa,CABA,-34.670527,-58.469081,,✅,,✅,,✅,✅,,"Índice GCBA, Relevamiento, Templos, Destinos",Parroquia y anexos,U2,
PROP_0253,Centro Misionero SAN JOSE (Pquia Caacupé),Sn - Villa 21-24,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0254,Centro Misionero SAN JOSÉ (Pquia NTRA. SRA. de Fátima),Sn - Los Piletones,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0255,Centro Misionero SANTA BERNARDITA (Pquia ?),"Tamborini, Jose Pascual 3060",Ver en mapa,CABA,-34.556039,-58.471239,Zapiola 3181,✅,,✅,,✅,,,"Índice GCBA, Templos, Destinos",Parroquia y anexos,U1-U3/Sin relevar,
PROP_0256,Centro Misionero SANTA MARÍA JOSEFA DEL CORAZÓN DE JESÚS SANCHO (Pquia Niño Jesús),Sn - Lugano,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0257,Centro Misionero TRENCITO DE VIDA (Pquia Caacupé),California 3500,Ver en mapa,CABA,-34.650081,-58.396614,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0258,Centro Misionero TRES ROSAS (Pquia Caacupé),Sn - Villa 21-24,Ver en mapa,CABA,,,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0259,Iglesia CORAZON DE JESUS,Gorriti Juana Manuela 1201,Ver en mapa,CABA,-34.612187,-58.365633,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0260,Iglesia CORAZON EUCARISTICO DE JESUS,Montevideo 1370,Ver en mapa,CABA,-34.593507,-58.390094,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0261,Iglesia CORPUS CHRISTI,Amenabar 450,Ver en mapa,CABA,-34.574126,-58.443856,,,,✅,,,✅,,"Relevamiento, Templos",Parroquia y anexos,U5,
PROP_0262,Iglesia DEL NAZARENO,Independencia Av. 1166,Ver en mapa,CABA,-34.617766,-58.382467,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0263,Iglesia DEL SALVADOR,Callao Av. 580,Ver en mapa,CABA,-34.602318,-58.392647,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0264,Iglesia DIVINO ROSTRO,Gallardo Av 576,Ver en mapa,CABA,-34.60543,-58.438906,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0265,Iglesia DIVINO SALVADOR,Salta 870,Ver en mapa,CABA,-34.618155,-58.382955,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0266,Iglesia INMACULADA CONCEPCION,"Bravo, Mario 563",Ver en mapa,CABA,-34.602688,-58.41653,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0267,Iglesia LA PURISIMA DE SAN GABRIEL BROCHERO,Caracas 531,Ver en mapa,CABA,-34.623266,-58.463435,Caracas 533,✅,,✅,,✅,,,"Índice GCBA, Templos, Destinos",Instituciones diocesanas propias,U1-U3/Sin relevar,
PROP_0268,Iglesia MADRE R.ADMIRABLE de SCHONSTATT,Echeverria 3632,Ver en mapa,CABA,-34.570337,-58.468143,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0269,Iglesia MARIA AUXILIADORA,Yapeyu 172,Ver en mapa,CABA,-34.61402,-58.421764,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0270,Iglesia MARIA INMACULADA,Gallo 986,Ver en mapa,CABA,-34.598451,-58.412052,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0271,Iglesia MATER MISERICORDIAE,24 De Noviembre 865,Ver en mapa,CABA,-34.621186,-58.410837,,,,✅,,✅,,,"Templos, Destinos",Parroquia y anexos,Sin relevar,
PROP_0272,Iglesia MATER MISERICORDIAE,Moreno 1669,Ver en mapa,CABA,-34.612491,-58.390002,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0273,Iglesia NTRA. SRA. de la MERCED de SION,"Mitre, Bartolome 3459",Ver en mapa,CABA,-34.609385,-58.415359,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0274,Iglesia NTRA. SRA. de la MISERICORDIA,Azcuenaga 1654,Ver en mapa,CABA,-34.589946,-58.397032,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0275,Iglesia NTRA. SRA. de la MISERICORDIA,Cabildo Av. 1333,Ver en mapa,CABA,-34.567564,-58.449349,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0276,Iglesia NTRA. SRA. de la MISERICORDIA,Directorio Av. 2118,Ver en mapa,CABA,-34.632364,-58.456834,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0277,Iglesia NTRA. SRA. de LUJAN,Jujuy Av. 2179,Ver en mapa,CABA,-34.635321,-58.399222,Jujuy Av. 2181,,,✅,,✅,,,"Templos, Destinos",Cedidos a terceros,Sin relevar,
PROP_0278,Iglesia NTRA. SRA. del HUERTO,Mosconi Gral. Av. 3054,Ver en mapa,CABA,-34.587537,-58.504108,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0279,Iglesia NTRA. SRA. del HUERTO,Rincon 827,Ver en mapa,CABA,-34.619032,-58.396016,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0280,Iglesia NTRO. SEÑOR de la SALUD,"Anchorena, Tomas Manuel De, Dr. 1563",Ver en mapa,CABA,-34.592109,-58.403652,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0281,Iglesia REGINA MARTYRUM,"Yrigoyen, Hipolito 2005",Ver en mapa,CABA,-34.610484,-58.394997,"Yrigoyen, Hipolito 2031 | Sarandi 65 | Yrigoyen, Hipolito 2025",✅,,✅,,✅,,,"Índice GCBA, Templos, Destinos","Cedidos a terceros, Parroquia y anexos",U1-U3/Sin relevar,
PROP_0282,Iglesia SAGRADA FAMILIA,"Artigas, Jose Gervasio, Gral. 1276",Ver en mapa,CABA,-34.615958,-58.470611,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0283,Iglesia SAGRADA FAMILIA DE NAZARETH,Conesa 1076,Ver en mapa,CABA,-34.572703,-58.452237,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0284,Iglesia SAGRADO CORAZON DE JESUS,"Pellegrini, Carlos 1441",Ver en mapa,CABA,-34.591159,-58.381485,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0285,Iglesia SAGRADO CORAZON DE JESUS,Cochabamba 1470,Ver en mapa,CABA,-34.624024,-58.386423,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0286,Iglesia SAN ANTONIO,Mexico 4050,Ver en mapa,CABA,-34.620327,-58.423329,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0287,AICA,"Alsina, Adolfo 500",Ver en mapa,CABA,-34.610264,-58.373319,Bolivar 218 | Bolivar 216,,,,✅,✅,✅,✅,"Relevamiento, Destinos, Alquileres, Entes dependientes",Comerciales,U5,
PROP_0288,Edificio Paraguay 1606 (10 oficinas + portería),Paraguay 1606,Ver en mapa,CABA,-34.598526,-58.389881,,,,,✅,,,,Alquileres,Comerciales,Sin relevar,
PROP_0289,Unidad comercial,Paraguay 1616,Ver en mapa,CABA,-34.598537,-58.390027,,,,,✅,,✅,,"Relevamiento, Alquileres",Comerciales,U5,
PROP_0290,CANAL 21,Rivadavia Av. 413,Ver en mapa,CABA,-34.607842,-58.372484,Rivadavia Av. 423,✅,,,✅,✅,✅,✅,"Índice GCBA, Relevamiento, Destinos, Alquileres, Entes dependientes","Comerciales, Instituciones diocesanas propias",U1,
PROP_0291,Departamento Portela 239,Portela 239,Ver en mapa,CABA,-34.635057,-58.472081,,✅,,,✅,✅,,,"Índice GCBA, Destinos, Alquileres",Cáritas,U1-U3/Sin relevar,
PROP_0292,Unidad comercial,Rivadavia Av. 1391,Ver en mapa,CABA,-34.608747,-58.38616,Rivadavia Av. 1395 | Uruguay 17 | Uruguay 36 | Rivadavia Av. 1399,✅,,,✅,✅,✅,,"Índice GCBA, Relevamiento, Destinos, Alquileres",Comerciales,U1,
