MAPA ->,Mapa - por partido y fuente de origen de datos,,,,,,,275,0,286,92,444,226,202,,,,
694,,Ubicación,,,,,,Categoría de uso y dominio,,,,,,,,,,
Propiedad_ID,Descripción,Dirección oficial,Ubicación,Localidad,Lat,Long,Direcciones secundarias,En Índice GCBA,En Índice PBA,En Templos,En alquileres,En Destinos,En Relev,En entes,Fuentes disponibles,Categoría de uso,Universo dominial,Estado validación
PROP_0043,PARROQUIA JESUS MISERICORDIOSO,"Rivera, Pedro I., Dr. 4591",Ver en mapa,CABA,-34.569112,-58.48246,,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1,
PROP_0044,PARROQUIA JESUS SALVADOR,Soldado De La Frontera Av. 5184,Ver en mapa,CABA,-34.684909,-58.463784,"Fernandez De La Cruz, F., Gral. Av. 5570",,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0045,Basílica SANTISIMO ROSARIO,Defensa 422,Ver en mapa,CABA,-34.613072,-58.371855,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0046,INSTITUTO JOSEFA CAPDEVILA DE GUTIERREZ,Arroyo 909,Ver en mapa,CABA,-34.591439,-58.380464,Arroyo 941 | Arroyo 931 | Arroyo 917,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Destinos, Entes dependientes","Escuela, Parroquia y anexos",U1-U3/Sin relevar,
PROP_0047,PARROQUIA MADRE DE DIOS,Escalada Av. y Zuviria,Ver en mapa,CABA,-34.660163,-58.475869,Escalada Av. 2350 | Escalada Av. 2362,,,✅,,✅,,✅,"Templos, Destinos, Entes dependientes",Parroquia y anexos,Sin relevar,
PROP_0048,Parroquia MARIA MADRE DE LA ESPERANZA,Miralla 3838,Ver en mapa,CABA,-34.673238,-58.468844,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0049,Parroquia MARIA MADRE DE LA IGLESIA,"Goyena, Pedro Av. 1626",Ver en mapa,CABA,-34.628317,-58.450881,"Goyena, Pedro Av. 1628",,,✅,,✅,✅,,"Relevamiento, Templos, Destinos",Parroquia y anexos,U5,
PROP_0050,PARROQUIA MARIA MADRE DEL REDENTOR,Mexico 2751,Ver en mapa,CABA,-34.617251,-58.404946,Mexico 2755 | Mexico 2749 | Mexico 2745,✅,,✅,,✅,,✅,"Índice GCBA, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar,
PROP_0051,PARROQUIA MARIA REINA,Ceretti 2622,Ver en mapa,CABA,-34.576255,-58.494667,,,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0052,PARROQUIA NATIVIDAD DE MARIA SANTISIMA,San Antonio 551,Ver en mapa,CABA,-34.648684,-58.378419,San Antonio 555 | San Antonio 565,,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
